         1 370.200000 639.530000  37.681000   0.017000 500.100000   84669.612000         OK  12.000000   0.000000   0.000000   annulus     circle
         2 277.690000 854.620000  37.913000   0.011000 473.093000   68351.151000         OK  12.000000   0.000000   0.000000   annulus     circle
         3 148.770000 540.280000  39.317000   0.039000 467.539000   18760.778000         OK  12.000000   0.000000   0.000000   annulus     circle
         4 136.590000 516.050000  39.035000   0.032000 467.995000   24331.488000         OK  12.000000   0.000000   0.000000   annulus     circle
         1 370.830000 640.610000  37.612000   0.015000 500.078000   90172.444000         OK  12.000000   0.000000   0.000000   annulus     circle
         2 278.820000 855.590000  37.878000   0.011000 474.781000   70608.567000         OK  12.000000   0.000000   0.000000   annulus     circle
         3 150.010000 541.340000  39.226000   0.036000 473.339000   20397.138000         OK  12.000000   0.000000   0.000000   annulus     circle
         4 137.690000 516.940000  38.933000   0.029000 473.260000   26718.491000         OK  12.000000   0.000000   0.000000   annulus     circle
         5 373.100000 640.360000  37.627000   0.016000 504.318000   88945.894000         OK  12.000000   0.000000   0.000000   annulus     circle
         6 281.120000 855.520000  37.889000   0.011000 477.654000   69885.131000         OK  12.000000   0.000000   0.000000   annulus     circle
         7 152.060000 541.030000  39.301000   0.039000 475.401000   19028.801000         OK  12.000000   0.000000   0.000000   annulus     circle
         8 139.680000 516.980000  38.966000   0.028000 474.926000   25921.241000         OK  12.000000   0.000000   0.000000   annulus     circle
         9 360.330000 658.680000  37.608000   0.017000 535.573000   90555.025000         OK  12.000000   0.000000   0.000000   annulus     circle
        10 331.420000 890.520000  37.913000   0.012000 507.795000   68337.653000         OK  12.000000   0.000000   0.000000   annulus     circle
        11 119.840000 624.740000  39.395000   0.043000 503.581000   17455.347000         OK  12.000000   0.000000   0.000000   annulus     circle
        12 101.500000 605.010000  38.933000   0.029000 501.755000   26724.090000         OK  12.000000   0.000000   0.000000   annulus     circle
