id,HJD,BCV,RV2,RV1,phase,RV1_corr,RV2_corr
1181,6692.88109268,28.84654,-34.169,-173.8014,0.7492090916924781,-144.95486,-5.322459999999996
1142,6736.6588506,20.61189,-49.8295,-139.1608,0.8774693038052419,-118.54890999999999,-29.217610000000004
1143,6749.69003393,15.49893,-125.8408,-47.4342,0.4039819020543973,-31.935269999999996,-110.34187
1140,6769.67348336,6.484246,-10.9452,-150.2172,0.7449041758699195,-143.73295399999998,-4.460954
1131,6790.56490994,-3.409508,-136.3682,-5.3551,0.19218966500488932,-8.764608,-139.777708
1130,6840.5805026,-23.25355,-75.1153,-32.6594,0.051168882081924494,-55.912949999999995,-98.36885000000001
1124,6869.52784302,-27.98305,-69.0281,-23.795,0.4421487123793213,-51.77805,-97.01114999999999
1119,6898.49168721,-26.26493,10.51,-104.1421,0.8350618446791032,-130.40703,-15.75493
1120,6904.49056886,-25.08714,-35.8785,-68.7917,0.5377891551797802,-93.87884000000001,-60.96564000000001
