objName,objID,objInfoFlag,qualityFlag,raMean,decMean,epochMean,ng,nr,ni,nz,ny,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr
PSO J167.0973-12.9211,92491670973395071,268513280,32,167.09732678,-12.92106861,55343.27556713,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,16.842100143432617,0.017159000039100647
PSO J167.0977-12.9218,92491670976794218,268959744,32,167.09767314,-12.92176799,55274.40244213,1,0,0,0,0,23.37619972229004,0.26184698939323425,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.0982-12.9240,92491670981981574,268959744,32,167.09820963,-12.92398918,56007.38626157,0,1,0,0,0,-999.0,-999.0,22.237899780273438,0.24688099324703217,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.0987-12.9238,92491670986891838,268959744,32,167.09869894,-12.92377433,56007.37486111,0,1,0,0,0,-999.0,-999.0,23.652000427246094,0.24727000296115875,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.0987-12.9245,92491670987610971,302067712,36,167.09873347,-12.92449973,56059.24815972,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,18.838699340820312,0.19418799877166748
PSO J167.0992-12.9232,92491670991572581,268959744,32,167.09916085,-12.92315247,56059.24815972,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.237699508666992,0.20063599944114685
PSO J167.0998-12.9221,92491670997363725,277348352,33,167.09982001,-12.92214042,57038.59854167,0,1,0,0,0,-999.0,-999.0,21.215700149536133,0.20616599917411804,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1001-12.9178,92491671001078970,404226048,48,167.10010796,-12.91783566,56132.77804398,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1003-12.9206,92491671002755669,1343750144,160,167.10027517,-12.92058333,56069.86893519,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1004-12.9249,92491671003460523,268959744,32,167.10035684,-12.92486495,56007.38626157,0,1,0,0,0,-999.0,-999.0,23.479000091552734,0.24796700477600098,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1005-12.9245,92491671005070950,268959744,32,167.10051727,-12.92451488,56007.37486111,0,1,0,0,0,-999.0,-999.0,22.200000762939453,0.2198529988527298,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1010-12.9241,92491671010201188,268959744,32,167.10102824,-12.92413642,56040.36371528,0,0,1,0,1,-999.0,-999.0,-999.0,-999.0,22.347900390625,0.2952730059623718,-999.0,-999.0,19.340099334716797,0.20018400251865387
PSO J167.1011-12.9232,92491671010892532,268959744,32,167.10109337,-12.92319325,56059.23576389,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.260000228881836,0.21776799857616425
PSO J167.1012-12.9186,92491671011368035,268959744,32,167.10121604,-12.91855212,57038.59854167,0,1,0,0,0,-999.0,-999.0,21.46299934387207,0.19326399266719818,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1017-12.9251,92491671017310304,268959744,32,167.1017414,-12.92505366,56007.37486111,0,1,0,0,0,-999.0,-999.0,21.610200881958008,0.19406400620937347,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1021-12.9244,92491671021081032,268513280,32,167.10209,-12.92444997,55274.41383102,1,0,0,0,0,17.44700050354004,0.0030320000369101763,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1029-12.9251,92491671028550196,268959744,32,167.1028662,-12.92514135,55999.40173611,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,22.330400466918945,0.2508249878883362,-999.0,-999.0,-999.0,-999.0
PSO J167.1031-12.9244,92491671030580997,310456320,37,167.1030756,-12.92444683,57038.59854167,0,1,0,0,0,-999.0,-999.0,20.934900283813477,0.15071700513362885,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1035-12.9233,92491671035042418,310456320,37,167.10352052,-12.92326379,57038.59854167,0,1,0,0,0,-999.0,-999.0,20.924299240112305,0.16995400190353394,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1039-12.9188,92491671038947836,310456320,37,167.10390789,-12.91875203,57038.59854167,0,1,0,0,0,-999.0,-999.0,21.14240074157715,0.1913910061120987,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1043-12.9212,92491671041905035,436285440,52,167.10427078849742,-12.921171367157747,57023.14324930882,0,2,2,0,0,-999.0,-999.0,20.708599090576172,0.00017899999511428177,21.291900634765625,0.4623720049858093,-999.0,-999.0,-999.0,-999.0
PSO J167.1052-12.9249,92491671052430458,268959744,32,167.10524765,-12.92492223,56059.23576389,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,19.597900390625,0.1916860044002533
PSO J167.1062-12.9174,92491671062319473,268959744,32,167.10624067,-12.91741205,55274.42299769,1,0,0,0,0,20.519699096679688,0.28782400488853455,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1069-12.9174,92491671068819434,268959744,32,167.1068867,-12.91743786,55274.41383102,1,0,0,0,0,20.620500564575195,0.2745000123977661,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1072-12.9228,92491671072322977,436285440,52,167.10719399,-12.92275079,57026.4944213,0,1,1,0,0,-999.0,-999.0,20.934600830078125,0.16315999627113342,21.838300704956055,0.19296200573444366,-999.0,-999.0,-999.0,-999.0
PSO J167.1073-12.9182,92491671073308499,310456320,37,167.10733966,-12.91820269,57038.59854167,0,1,0,0,0,-999.0,-999.0,21.256799697875977,0.17982900142669678,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1082-12.9195,92491671081646912,268959744,32,167.10817574,-12.91953737,56358.38790509,0,1,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1091-12.9202,92491671091026118,268959744,32,167.10910821,-12.9202014,55274.41383102,1,0,0,0,0,21.0856990814209,0.24381999671459198,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1091-12.9215,92491671091314559,268959744,32,167.10913255,-12.92150041,55268.45263889,0,1,0,0,0,-999.0,-999.0,21.364900588989258,0.22064200043678284,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1095-12.9251,92491671094490300,268959744,32,167.10946635,-12.92505077,56290.63743056,0,0,0,1,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,22.370899200439453,0.2702600061893463,-999.0,-999.0
PSO J167.1131-12.9182,92491671131098565,268959744,32,167.11312343,-12.91815819,57009.62793981,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,23.208499908447266,0.28487899899482727,-999.0,-999.0,-999.0,-999.0
PSO J167.1133-12.9232,92491671132752494,310456320,37,167.11328439,-12.92320513,57038.59854167,0,1,0,0,0,-999.0,-999.0,21.194700241088867,0.1718820035457611,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1134-12.9185,92491671134178141,436285440,52,167.11339017,-12.918528,56709.50100694,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,21.236499786376953,0.19079400599002838,-999.0,-999.0,-999.0,-999.0
PSO J167.1136-12.9189,92491671135527623,268959744,32,167.11355815,-12.91894307,56715.43288194,1,0,0,0,0,22.18910026550293,0.263947993516922,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.1139-12.9208,92491671139015412,444674048,53,167.11388304,-12.92080389,57009.63918981,0,0,1,0,0,-999.0,-999.0,-999.0,-999.0,20.72610092163086,0.17734600603580475,-999.0,-999.0,-999.0,-999.0
PSO J167.5078-12.9205,92491675077965733,1343750144,160,167.50779292,-12.92051911,56098.06202546,0,0,0,0,0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.5088-12.9230,92491675088382819,302067712,36,167.50880917,-12.92298031,56007.37486111,0,1,0,0,0,-999.0,-999.0,20.966699600219727,0.09549900144338608,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PSO J167.5092-12.9201,92491675092186195,268959744,32,167.50921997,-12.92014131,55590.50946759,0,0,0,0,1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,25.490699768066406,0.21079300343990326
PSO J167.5100-12.9188,92491675100337791,268959744,32,167.51002983,-12.9188123,55606.58871528,0,1,0,0,0,-999.0,-999.0,23.409500122070312,0.31497499346733093,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
