obsID,objName,objID,objInfoFlag,qualityFlag,raMean,decMean,epochMean,ng,nr,ni,nz,ny,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr,dist
1,PSO J167.4407-12.6161,92861674407391086,503635968,60,167.4407290761344,-12.616099828445424,56686.91815443385,11,14,16,13,11,17.13450050354004,0.0036899999249726,16.794200897216797,0.0029639999847859,16.66200065612793,0.0029239999130368,16.64259910583496,0.0046509997919201,16.614900588989258,0.010063000023365,2.4134457727939065
2,PSO J167.3848-12.6141,92861673847823510,503635968,60,167.38477962245273,-12.614074251412202,56655.33881166081,15,13,18,15,16,18.59449958801269,0.0106880003586411,18.056400299072266,0.0080930003896355,17.832500457763672,0.0059380000457167,17.77039909362793,0.0153700001537799,17.629499435424805,0.0286710001528263,2.4614867416638893
3,PSO J167.3803-12.6142,92861673803023311,436527104,52,167.38029548739704,-12.614231404931155,56673.64745017931,14,18,20,15,13,18.24329948425293,0.0082890000194311,17.88640022277832,0.0046210000291466,17.75979995727539,0.0036230001132935,17.779399871826172,0.0053240000270307,17.737199783325195,0.0071859997697174,2.6683002962912847
