objName,objID,objInfoFlag,qualityFlag,raMean,decMean,epochMean,ng,nr,ni,nz,ny,gMeanApMag,gMeanApMagErr,rMeanApMag,rMeanApMagErr,iMeanApMag,iMeanApMagErr,zMeanApMag,zMeanApMagErr,yMeanApMag,yMeanApMagErr,dist
PSO J167.2392-12.4519,93051672392008122,436527104,52,167.23919690275662,-12.45192212945896,56859.50265450641,3,5,2,1,0,21.99839973449707,0.4595449864864349,21.83919906616211,0.1096230000257492,20.68869972229004,0.4392949938774109,21.205400466918945,0.1861270070075988,-999.0,-999.0,13.22587942262935
PSO J167.2514-12.4520,93051672514367935,436527104,52,167.2514361843872,-12.45204029777988,56684.498418388015,3,11,18,15,6,21.651100158691406,0.2594090104103088,20.92959976196289,0.0311660002917051,20.16320037841797,0.0311859995126724,19.95709991455078,0.0462820008397102,19.33180046081543,0.169282004237175,12.64555309859592
PSO J167.2740-12.4559,93051672740053315,436527104,52,167.27403470883084,-12.455911508099785,56781.53318060197,1,2,14,3,0,21.428300857543945,0.1993480026721954,23.010099411010746,0.1613509953022003,21.05590057373047,0.0718500018119812,21.166200637817383,0.0974680036306381,-999.0,-999.0,11.470027852173276
PSO J167.2765-12.4558,93051672765113386,436527104,52,167.2764685744678,-12.45584494842176,56652.78537284238,9,14,16,16,12,20.03319931030273,0.0367540009319782,19.010099411010746,0.0230000000447034,18.54159927368164,0.0091380001977086,18.359600067138672,0.0103919999673962,18.18239974975586,0.0319879986345768,11.365972727722152
PSO J167.1917-12.6589,92801671917159744,436527104,52,167.19172197659125,-12.658888889111294,56535.3013430593,6,10,11,13,2,20.96649932861328,0.0147839998826384,20.642799377441406,0.1358000040054321,20.531400680541992,0.0360170006752014,20.297100067138672,0.0479810014367103,20.1471004486084,0.0949930027127265,14.064028089949009
PSO J167.1933-12.6600,92801671933658407,503635968,60,167.1933433090387,-12.659975538566645,56554.97743156373,9,10,13,16,16,17.646499633789062,0.0052789999172091,16.97640037536621,0.0021309999283403,16.723100662231445,0.0034199999645352,16.631000518798828,0.0067119998857378,16.5398006439209,0.0059620002284646,13.992278109443498
PSO J167.2259-12.6669,92801672259520052,436527256,52,167.22591576878276,-12.666915035461608,56575.80004825917,6,14,15,17,7,19.774599075317383,0.0695960000157356,19.93120002746582,0.040192000567913,19.765100479125977,0.043758001178503,19.53190040588379,0.0382179990410804,19.46489906311035,0.1833779960870742,12.314451773906297
PSO J167.2420-12.6633,92801672419784396,436527104,52,167.24197929597074,-12.663320904747003,56778.14439818589,5,7,12,12,8,20.00040054321289,0.0510889999568462,19.84029960632324,0.0243289992213249,19.654800415039062,0.0219800006598234,19.625600814819336,0.0359320007264614,19.717300415039062,0.0461560003459453,11.345467975329509
PSO J167.5677-12.3749,93151675676880611,436527104,52,167.56773436261446,-12.374851841807656,56673.5477154061,6,7,7,3,0,21.44289970397949,0.191330999135971,21.48310089111328,0.0786439999938011,20.972299575805664,0.1625189930200576,21.4109001159668,0.331739991903305,-999.0,-999.0,15.641961531405164
PSO J167.5727-12.3717,93151675727584359,436527104,52,167.5727075588668,-12.37168641176624,56648.31662389162,13,13,14,15,14,19.9606990814209,0.0334179997444152,19.263999938964844,0.0118349995464086,18.960599899291992,0.0108709996566176,18.83769989013672,0.0105389999225735,18.65019989013672,0.0258510001003742,15.97159191491691
PSO J167.6016-12.3680,93151676015828720,444915712,53,167.60156542286907,-12.368040861187122,56560.09165943665,11,14,12,15,12,20.96759986877441,0.1102320030331611,19.929500579833984,0.0206429995596408,19.309499740600582,0.0180849991738796,19.13400077819824,0.0117020001634955,18.79829978942871,0.0663769990205764,17.22345364082024
PSO J167.6037-12.3705,93151676036945758,436527232,52,167.60371900540113,-12.370495183037749,56737.27912486395,10,13,11,2,0,21.307100296020508,0.1587840020656585,21.20929908752441,0.0522920005023479,20.938499450683597,0.0758560001850128,20.9650993347168,0.180416002869606,-999.0,-999.0,17.19714459416345
PSO J167.6052-12.3712,93151676053664933,436527104,52,167.60521443036814,-12.37116044913995,56582.56745390198,1,11,14,13,1,22.71629905700684,0.1696590036153793,21.36520004272461,0.064589999616146,20.895700454711918,0.0744519978761673,20.485200881958008,0.0595909990370273,20.194900512695312,0.1749919950962066,17.226696436175754
PSO J167.6096-12.3681,93151676098078425,436527104,52,167.60963148475253,-12.368142494144498,56499.55676568243,9,14,12,12,9,21.4143009185791,0.163451001048088,20.01460075378418,0.0198539998382329,19.529300689697266,0.0361130014061927,19.390899658203125,0.0368099994957447,19.06920051574707,0.0409360006451606,17.53830378894864
PSO J167.6129-12.3688,93151676129657731,436527104,52,167.61292550518772,-12.368836681212136,56658.17009705915,10,13,14,14,5,21.546600341796875,0.1911679953336715,20.5004997253418,0.0474560000002384,20.193700790405277,0.0385009981691837,20.13789939880371,0.0477290004491806,19.887800216674805,0.1655600070953369,17.640177354144093
PSO J167.4697-12.2595,93281674697719011,444915712,53,167.46969582664997,-12.259486947135397,56770.42456581902,7,15,16,9,10,21.39679908752441,0.0924950018525123,20.085599899291992,0.033279001712799,19.63870048522949,0.032880999147892,19.358400344848636,0.0239659994840621,19.04669952392578,0.0832820013165474,19.851393314201516
PSO J167.4726-12.2588,93281674726509943,444915712,53,167.47263837279098,-12.2587431423877,56830.74965474525,7,9,18,10,2,21.21380043029785,0.1210490018129348,20.395999908447266,0.0503830015659332,20.002500534057617,0.052165001630783,19.76099967956543,0.1016319990158081,19.261499404907227,0.3276810050010681,19.92559762628046
