wave_base	wave_top
442.95700	443.96700
459.61900	460.62600
463.88000	464.88800
470.28500	471.29700
474.29100	475.30200
500.09200	501.10400
541.60900	542.62500
549.78800	550.79700
564.05600	568.04200
569.60000	571.35500
574.26200	575.86400
576.71300	578.54500
578.77900	580.29100
599.29400	600.30600
611.99900	613.66000
613.74300	615.01200
615.01400	616.02000
618.93800	619.95200
620.99500	622.04900
