wave_peak	wave_base	wave_top	note
493.20265	493.17200	493.22800	C 1
501.70752	501.70500	501.71700	C 1
502.49000	502.48400	502.49700	C 1
538.03143	537.99800	538.04000	C 1
554.37855	554.36500	554.38100	C 1
566.89677	566.89200	566.89900	C 1
579.31428	579.30900	579.34400	C 1
601.32529	601.31400	601.32700	C 1
