waveobs	flux	err
586.96535	1e-10	0.0
586.9663499999999	0.9952218926907849	0.0
586.9673499999999	0.9951959120002383	0.0
586.9683499999999	0.9951682031530353	0.0
586.9693499999998	0.9951402697904846	0.0
586.9703499999998	0.995114401245351	0.0
586.9713499999998	0.995093538132849	0.0
586.9723499999998	0.9950808867444177	0.0
586.9733499999998	0.9950793937440245	0.0
586.9743499999997	0.9950913025932439	0.0
586.9753499999997	0.9951179653974279	0.0
586.9763499999997	0.9951599148338102	0.0
586.9773499999997	0.9952170693112135	0.0
586.9783499999996	0.9952889389096481	0.0
586.9793499999996	0.9953747700955787	0.0
586.9803499999996	0.9954736296584619	0.0
586.9813499999996	0.9955844516470295	0.0
586.9823499999995	0.9957060668939572	0.0
586.9833499999995	0.9958372278078694	0.0
586.9843499999995	0.9959766316504318	0.0
586.9853499999995	0.9961229432016526	0.0
586.9863499999994	0.996274816999533	0.0
586.9873499999994	0.9964309186426679	0.0
586.9883499999994	0.9965899446932114	0.0
586.9893499999994	0.9967506407783976	0.0
586.9903499999994	0.9969118175639073	0.0
586.9913499999993	0.9970723643571284	0.0
586.9923499999993	0.9972312601828952	0.0
586.9933499999993	0.9973875822540776	0.0
586.9943499999993	0.9975405118343261	0.0
586.9953499999992	0.9976893375632856	0.0
586.9963499999992	0.9978334563835087	0.0
586.9973499999992	0.9979723722664137	0.0
586.9983499999992	0.9981056929779321	0.0
586.9993499999991	0.9982331251527239	0.0
587.0003499999991	0.9983544679650355	0.0
587.0013499999991	0.9984696056957327	0.0
587.0023499999991	0.9985784994961796	0.0
587.003349999999	0.9986811786379788	0.0
587.004349999999	0.9987777315162963	0.0
587.005349999999	0.9988682966495548	0.0
587.006349999999	0.9989530538914199	0.0
587.007349999999	0.9990322160394679	0.0
587.0083499999989	0.9991060209875569	0.0
587.0093499999989	0.999174724530751	0.0
587.0103499999989	0.9992385938981181	0.0
587.0113499999989	0.9992979020609286	0.0
587.0123499999988	0.9993529228371125	0.0
587.0133499999988	0.999403926786267	0.0
587.0143499999988	0.9994511778656107	0.0
587.0153499999988	0.9994949307998191	0.0
587.0163499999987	0.9995354291062923	0.0
587.0173499999987	0.9995729037090477	0.0
587.0183499999987	0.9996075720684648	0.0
587.0193499999987	0.9996396377514585	0.0
587.0203499999986	0.9996692903682693	0.0
587.0213499999986	0.9996967058056864	0.0
587.0223499999986	0.9997220466906495	0.0
587.0233499999986	0.9997454630230097	0.0
587.0243499999985	0.9997670929229154	0.0
587.0253499999985	0.9997870634470193	0.0
587.0263499999985	0.9998054914357914	0.0
587.0273499999985	0.999822484361189	0.0
587.0283499999985	0.9998381411497096	0.0
587.0293499999984	0.9998525529618753	0.0
587.0303499999984	0.9998658039152161	0.0
587.0313499999984	0.999877971742814	0.0
