waveobs	flux	err
394.76716	1e-10	0.0
394.76815999999997	0.9784833982792348	0.0
394.76915999999994	0.9782376548487169	0.0
394.7701599999999	0.9781639140333064	0.0
394.7711599999999	0.9783745840678031	0.0
394.7721599999999	0.9789551422538417	0.0
394.77315999999985	0.979931774347237	0.0
394.7741599999998	0.9812813440601846	0.0
394.7751599999998	0.9829682185945576	0.0
394.7761599999998	0.9849634082167749	0.0
394.77715999999975	0.9872293047077496	0.0
394.77815999999973	0.989686087955113	0.0
394.7791599999997	0.9921873009742875	0.0
394.7801599999997	0.994531271474742	0.0
394.78115999999966	0.9965163464613426	0.0
394.78215999999964	0.9980135328819916	0.0
394.7831599999996	0.9990089695109686	0.0
394.7841599999996	0.9995888863340656	0.0
394.78515999999956	0.9998841975820051	0.0
394.78615999999954	1.000015721299356	0.0
394.7871599999995	1.0000671053048151	0.0
394.7881599999995	1.0000848069028783	0.0
394.78915999999947	1.0000902363129656	0.0
394.79015999999945	1.000091760601838	0.0
394.7911599999994	1.0000921959516316	0.0
394.7921599999994	1.0000923666952202	0.0
394.7931599999994	1.0000924819510826	0.0
394.79415999999935	1.0000925869172919	0.0
394.7951599999993	1.000092689717425	0.0
394.7961599999993	1.0000927916758386	0.0
394.7971599999993	1.000092893483046	0.0
394.79815999999926	1.000092996067581	0.0
394.79915999999923	1.0000931003906226	0.0
394.8001599999992	1.0000932071052198	0.0
394.8011599999992	1.000093316345366	0.0
394.80215999999916	1.0000934277110773	0.0
394.80315999999914	1.0000935404076452	0.0
394.8041599999991	1.0000936534536644	0.0
394.8051599999991	1.0000937658838833	0.0
394.80615999999907	1.000093876910307	0.0
394.80715999999904	1.0000939860360885	0.0
394.808159999999	1.0000940931188462	0.0
394.809159999999	1.0000941983587646	0.0
394.810159999999	1.0000943021804258	0.0
394.81115999999895	1.0000944050208835	0.0
394.8121599999989	1.000094507112752	0.0
394.8131599999989	1.0000946083889137	0.0
394.8141599999989	1.0000947085780931	0.0
394.81515999999885	1.0000948074404266	0.0
394.81615999999883	1.0000949050066517	0.0
394.8171599999988	1.000095001690856	0.0
394.8181599999988	1.0000950982167425	0.0
394.81915999999876	1.000095195380987	0.0
394.82015999999874	1.0000952937536411	0.0
394.8211599999987	1.0000953934642027	0.0
394.8221599999987	1.0000954942019837	0.0
394.82315999999867	1.000095595455522	0.0
394.82415999999864	1.0000956968773185	0.0
394.8251599999986	1.0000957985725258	0.0
394.8261599999986	1.0000959011383042	0.0
394.82715999999857	1.0000960054230066	0.0
394.82815999999855	1.000096112146122	0.0
394.8291599999985	1.000096221597813	0.0
394.8301599999985	1.000096333563523	0.0
394.8311599999985	1.0000964474616338	0.0
394.83215999999845	1.0000965625702603	0.0
394.83315999999843	1.0000966782236889	0.0
394.8341599999984	1.0000967939384484	0.0
394.8351599999984	1.0000969094868348	0.0
394.83615999999836	1.0000970249228789	0.0
394.83715999999833	1.0000971405256305	0.0
394.8381599999983	1.0000972566362079	0.0
394.8391599999983	1.0000973734419847	0.0
394.84015999999826	1.0000974908271718	0.0
394.84115999999824	1.0000976083844315	0.0
394.8421599999982	1.0000977255805379	0.0
394.8431599999982	1.0000978419778617	0.0
394.84415999999817	1.0000979573965099	0.0
394.84515999999815	1.000098071948776	0.0
394.8461599999981	1.0000981859411542	0.0
394.8471599999981	1.0000982996927907	0.0
394.8481599999981	1.000098413361058	0.0
394.84915999999805	1.0000985268806193	0.0
394.850159999998	1.0000986400775085	0.0
394.851159999998	1.0000987529098835	0.0
394.852159999998	1.0000988656784229	0.0
394.85315999999796	1.0000989790392731	0.0
394.85415999999793	1.0000990937748435	0.0
394.8551599999979	1.0000992104478823	0.0
394.8561599999979	1.0000993291422418	0.0
394.85715999999786	1.0000994494212117	0.0
394.85815999999784	1.000099570490712	0.0
394.8591599999978	1.0000996914621472	0.0
394.8601599999978	1.000099811609428	0.0
394.86115999999777	1.0000999305549647	0.0
394.86215999999774	1.0001000483412847	0.0
394.8631599999977	1.00010016535277	0.0
394.8641599999977	1.000100282095085	0.0
394.8651599999977	1.000100398926055	0.0
394.86615999999765	1.0001005158872143	0.0
394.8671599999976	1.0001006327372284	0.0
394.8681599999976	1.0001007491610172	0.0
394.8691599999976	1.0001008650180547	0.0
394.87015999999755	1.0001009804721679	0.0
394.87115999999753	1.0001010959219547	0.0
394.8721599999975	1.000101211781832	0.0
394.8731599999975	1.0001013282639686	0.0
394.87415999999746	1.0001014453037695	0.0
394.87515999999744	1.0001015626646252	0.0
394.8761599999974	1.000101680142544	0.0
394.8771599999974	1.0001017977449118	0.0
394.87815999999737	1.0001019157451425	0.0
394.87915999999734	1.000102034583378	0.0
394.8801599999973	1.000102154660226	0.0
394.8811599999973	1.0001022761253051	0.0
394.88215999999727	1.0001023987683388	0.0
394.88315999999725	1.0001025220721225	0.0
394.8841599999972	1.0001026454069595	0.0
394.8851599999972	1.0001027682733137	0.0
394.8861599999972	1.000102890470632	0.0
394.88715999999715	1.0001030121091885	0.0
394.88815999999713	1.0001031334755446	0.0
394.8891599999971	1.0001032548479174	0.0
394.8901599999971	1.0001033763685552	0.0
394.89115999999706	1.000103498017501	0.0
394.89215999999703	1.0001036196597755	0.0
394.893159999997	1.0001037411071207	0.0
394.894159999997	1.0001038621525986	0.0
394.89515999999696	1.0001039825823375	0.0
394.89615999999694	1.000104102201261	0.0
394.8971599999969	1.0001042208838637	0.0
394.8981599999969	1.0001043386012	0.0
394.89915999999687	1.0001044553755778	0.0
394.90015999999684	1.0001045712043395	0.0
394.9011599999968	1.0001046860635128	0.0
