 age/yr       logL   logTef grav   logTc  logrho Xc,Yc Xc_C    Xc_O    Q_conv Q_disc  logL_H Q1_H  Q2_H    logL_He Q1_He Q2_He  logL_C logL_nu Q_Tmax stage
 1.03363E+08  3.109  3.943  2.747  7.719  3.074  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.180 0.0889 0.2057  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03385E+08  3.093  3.916  2.654  7.734  3.134  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.171 0.0941 0.2014  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03395E+08  3.083  3.900  2.602  7.742  3.164  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.166 0.0962 0.1985  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03406E+08  3.071  3.883  2.546  7.751  3.194  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.161 0.0977 0.1955  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03417E+08  3.057  3.865  2.486  7.759  3.224  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.154 0.1003 0.1936  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03427E+08  3.042  3.845  2.421  7.768  3.255  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.146 0.1025 0.1910  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03438E+08  3.023  3.822  2.348  7.777  3.285  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.138 0.1046 0.1887  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03449E+08  3.002  3.797  2.268  7.787  3.315  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.129 0.1068 0.1864  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03459E+08  2.978  3.768  2.179  7.796  3.345  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.118 0.1089 0.1844  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03469E+08  2.949  3.740  2.095  7.806  3.375  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.105 0.1100 0.1817  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03480E+08  2.915  3.720  2.047  7.816  3.406  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.091 0.1122 0.1792  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03490E+08  2.874  3.704  2.027  7.826  3.436  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.076 0.1141 0.1774  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03500E+08  2.829  3.691  2.017  7.836  3.466  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.058 0.1150 0.1754  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03510E+08  2.810  3.679  1.989  7.846  3.496  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.041 0.1170 0.1734  0.000 0.0000 0.0000  0.000  0.000  0.0000  Brg     
 1.03531E+08  2.899  3.658  1.818  7.867  3.556  0.982 2.26E-4 4.57E-4 0.0000 0.4469  3.026 0.1200 0.1700  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03541E+08  2.968  3.651  1.719  7.877  3.585  0.982 2.26E-4 4.57E-4 0.0000 0.4436  3.033 0.1214 0.1687  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03557E+08  3.044  3.643  1.610  7.892  3.631  0.982 2.26E-4 4.57E-4 0.0000 0.4270  3.054 0.1232 0.1676  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03580E+08  3.102  3.636  1.526  7.913  3.693  0.982 2.26E-4 4.57E-4 0.0000 0.3615  3.090 0.1259 0.1662  0.000 0.0000 0.0000  0.000  0.000  0.0000          
 1.03610E+08  3.161  3.632  1.450  7.941  3.775  0.982 2.26E-4 4.57E-4 0.0000 0.3161  3.139 0.1297 0.1647  0.000 0.0000 0.0000  0.000  0.000  0.0000          
