id,date,num_x,V_RBT,V_RBT_err,flag_x,R_RBT,R_RBT_err,flag_y,V_JC_PS,V_JC_PS_err,R_JC_PS,R_JC_PS_err,R_JC_RBT_1,V_JC_RBT_1,R_JC_RBT_2,V_JC_RBT_2,R_JC_RBT_3,V_JC_RBT_3
2017-12-20_1,2017-12-20,1,37.653,0.015,OK,37.213,0.01,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-20_2,2017-12-20,2,37.876,0.011,OK,37.586,0.012,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.665516800909423,14.017576660107423,16.240378989459927,13.964137120063285,13.056114285714283,21.760876190476193
2017-12-20_3,2017-12-20,3,39.273,0.038,OK,38.84,0.032,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.908264635330205,15.398691249877935,17.499565156771627,15.348694716437421,14.105828571428573,26.215352380952403
2017-12-20_4,2017-12-20,4,38.673,0.022,OK,38.674,0.029,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.752970666207887,14.813805646411133,17.339842111721712,14.761175335084026,14.559828571428564,16.33601904761912
2017-12-20_5,2017-12-20,5,37.691,0.013,OK,37.225,0.012,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-20_6,2017-12-20,6,37.897,0.011,OK,37.588,0.012,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.667516800909425,14.038576660107424,16.242606160952135,13.985457832758158,13.03097142857143,22.188114285714253
2017-12-20_7,2017-12-20,7,39.262,0.037,OK,38.903,0.038,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.9712646353302,15.387691249877932,17.56972105877607,15.34779716632606,14.274542857142851,24.622161904761967
2017-12-20_8,2017-12-20,8,38.637,0.022,OK,38.719,0.031,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.797970666207888,14.777805646411132,17.389953470296323,14.732391370718766,14.720542857142856,14.56816190476191
2017-12-20_9,2017-12-20,9,37.627,0.013,OK,37.204,0.011,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-20_10,2017-12-20,10,37.91,0.012,OK,37.581,0.012,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.660516800909427,14.051576660107422,16.23481106072942,13.997335338326089,12.995400000000009,22.628733333333212
2017-12-20_11,2017-12-20,11,39.322,0.039,OK,38.801,0.032,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.869264635330204,15.447691249877934,17.456135312673627,15.391440818887311,13.941114285714283,28.14587619047623
2017-12-20_12,2017-12-20,12,38.64,0.021,OK,38.585,0.028,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.663970666207888,14.780805646411132,17.240732980318594,14.713903620161972,14.39082857142857,17.500352380952396
2017-12-21_1,2017-12-21,1,37.612,0.015,OK,37.276,0.016,OK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-21_2,2017-12-21,2,37.892,0.011,OK,37.624,0.011,OK,16.93387121124268,0.0070901628473458,16.611486906433107,0.0078815985501842,13.703516800909426,14.033576660107428,16.282695247811823,13.986230661265964,13.125542857142856,21.306495238095277
2017-12-21_3,2017-12-21,3,39.21,0.035,OK,38.93,0.037,OK,18.27946295928955,0.0142660929209047,17.846763305664062,0.0112259503971785,14.998264635330202,15.335691249877932,17.599787873920842,15.300126787706908,14.414399999999995,22.88106666666671
2017-12-21_4,2017-12-21,4,38.885,0.027,OK,38.703,0.028,OK,18.033068951416016,0.0113135835815499,17.705330384826663,0.0087273037438797,14.78197066620789,15.02580564641113,17.372136098358684,14.977825669159742,14.327400000000008,20.46073333333325
