num,V_RBT,V_RBT_err,flag,data,id
6,37.897,0.011,OK,2017-12-20,2017-12-20_6
7,39.262,0.037,OK,2017-12-20,2017-12-20_7
8,38.637,0.022,OK,2017-12-20,2017-12-20_8
9,37.627,0.013,OK,2017-12-20,2017-12-20_9
10,37.91,0.012,OK,2017-12-20,2017-12-20_10
11,39.322,0.039,OK,2017-12-20,2017-12-20_11
12,38.64,0.021,OK,2017-12-20,2017-12-20_12
1,37.612,0.015,OK,2017-12-21,2017-12-21_1
2,37.892,0.011,OK,2017-12-21,2017-12-21_2
3,39.21,0.035,OK,2017-12-21,2017-12-21_3
4,38.885,0.027,OK,2017-12-21,2017-12-21_4
5,37.642,0.016,OK,2017-12-21,2017-12-21_5
6,37.851,0.01,OK,2017-12-21,2017-12-21_6
7,39.273,0.035,OK,2017-12-21,2017-12-21_7
8,38.945,0.029,OK,2017-12-21,2017-12-21_8
9,37.611,0.012,OK,2017-12-21,2017-12-21_9
10,37.866,0.01,OK,2017-12-21,2017-12-21_10
11,39.241,0.037,OK,2017-12-21,2017-12-21_11
12,38.887,0.027,OK,2017-12-21,2017-12-21_12
13,37.645,0.015,OK,2017-12-21,2017-12-21_13
14,37.855,0.011,OK,2017-12-21,2017-12-21_14
15,39.219,0.032,OK,2017-12-21,2017-12-21_15
16,38.98,0.028,OK,2017-12-21,2017-12-21_16
17,38.063,0.058,OK,2017-12-21,2017-12-21_17
18,37.982,0.034,OK,2017-12-21,2017-12-21_18
19,39.33,0.115,OK,2017-12-21,2017-12-21_19
20,39.014,0.087,OK,2017-12-21,2017-12-21_20
1,37.638,0.015,OK,2017-12-22,2017-12-22_1
2,37.857,0.011,OK,2017-12-22,2017-12-22_2
3,39.383,0.043,OK,2017-12-22,2017-12-22_3
4,38.964,0.029,OK,2017-12-22,2017-12-22_4
5,37.686,0.019,OK,2017-12-22,2017-12-22_5
6,37.855,0.011,OK,2017-12-22,2017-12-22_6
7,39.197,0.037,OK,2017-12-22,2017-12-22_7
8,38.983,0.03,OK,2017-12-22,2017-12-22_8
9,37.706,0.022,OK,2017-12-22,2017-12-22_9
10,37.865,0.012,OK,2017-12-22,2017-12-22_10
11,39.326,0.043,OK,2017-12-22,2017-12-22_11
12,38.932,0.029,OK,2017-12-22,2017-12-22_12
1,37.778,0.014,OK,2017-12-23,2017-12-23_1
2,37.966,0.013,OK,2017-12-23,2017-12-23_2
3,39.336,0.042,OK,2017-12-23,2017-12-23_3
4,39.0,0.032,OK,2017-12-23,2017-12-23_4
5,37.806,0.019,OK,2017-12-23,2017-12-23_5
6,37.957,0.014,OK,2017-12-23,2017-12-23_6
7,39.392,0.046,OK,2017-12-23,2017-12-23_7
8,39.041,0.031,OK,2017-12-23,2017-12-23_8
9,37.77,0.016,OK,2017-12-23,2017-12-23_9
10,38.01,0.013,OK,2017-12-23,2017-12-23_10
11,39.413,0.044,OK,2017-12-23,2017-12-23_11
12,39.115,0.033,OK,2017-12-23,2017-12-23_12
13,37.697,0.016,OK,2017-12-23,2017-12-23_13
14,37.873,0.011,OK,2017-12-23,2017-12-23_14
15,39.262,0.037,OK,2017-12-23,2017-12-23_15
16,39.013,0.033,OK,2017-12-23,2017-12-23_16
17,37.918,0.041,OK,2017-12-23,2017-12-23_17
18,37.976,0.028,OK,2017-12-23,2017-12-23_18
19,39.284,0.092,OK,2017-12-23,2017-12-23_19
20,39.09,0.076,OK,2017-12-23,2017-12-23_20
21,38.228,0.065,OK,2017-12-23,2017-12-23_21
22,37.891,0.041,OK,2017-12-23,2017-12-23_22
23,39.178,0.122,OK,2017-12-23,2017-12-23_23
24,38.793,0.08,OK,2017-12-23,2017-12-23_24
1,37.655,0.015,OK,2017-12-24,2017-12-24_1
2,37.88,0.012,OK,2017-12-24,2017-12-24_2
3,39.22,0.036,OK,2017-12-24,2017-12-24_3
4,38.932,0.029,OK,2017-12-24,2017-12-24_4
5,37.774,0.019,OK,2017-12-24,2017-12-24_5
6,37.86,0.011,OK,2017-12-24,2017-12-24_6
7,39.296,0.041,OK,2017-12-24,2017-12-24_7
8,38.91,0.03,OK,2017-12-24,2017-12-24_8
9,37.756,0.019,OK,2017-12-24,2017-12-24_9
10,37.867,0.012,OK,2017-12-24,2017-12-24_10
11,39.282,0.041,OK,2017-12-24,2017-12-24_11
12,38.966,0.03,OK,2017-12-24,2017-12-24_12
13,37.732,0.019,OK,2017-12-24,2017-12-24_13
14,37.911,0.013,OK,2017-12-24,2017-12-24_14
15,39.28,0.039,OK,2017-12-24,2017-12-24_15
16,38.96,0.031,OK,2017-12-24,2017-12-24_16
17,38.135,0.057,OK,2017-12-24,2017-12-24_17
18,37.946,0.034,OK,2017-12-24,2017-12-24_18
19,39.488,0.13,OK,2017-12-24,2017-12-24_19
20,38.78,0.067,OK,2017-12-24,2017-12-24_20
1,37.754,0.019,OK,2017-12-25,2017-12-25_1
2,37.969,0.012,OK,2017-12-25,2017-12-25_2
3,39.369,0.042,OK,2017-12-25,2017-12-25_3
4,39.018,0.029,OK,2017-12-25,2017-12-25_4
5,37.779,0.021,OK,2017-12-25,2017-12-25_5
6,37.917,0.01,OK,2017-12-25,2017-12-25_6
7,39.39,0.04,OK,2017-12-25,2017-12-25_7
8,38.957,0.024,OK,2017-12-25,2017-12-25_8
9,37.678,0.021,OK,2017-12-25,2017-12-25_9
10,37.887,0.011,OK,2017-12-25,2017-12-25_10
11,39.336,0.039,OK,2017-12-25,2017-12-25_11
12,39.002,0.029,OK,2017-12-25,2017-12-25_12
13,38.227,0.034,OK,2017-12-25,2017-12-25_13
14,38.165,0.015,OK,2017-12-25,2017-12-25_14
