id,date,V_JC_SNe_1,V_JC_SNe_2,V_JC_SNe_3,R_JC_SNe_1,R_JC_SNe_2,R_JC_SNe_3,V,R,V_err,R_err
2017-12-08_1,2017-12-08,14.239576660107424,14.22369124987793,14.23880564641113,14.128516800909422,14.1172646353302,14.127970666207888,14.23880564641113,14.127970666207888,0.0073135012350976965,0.005180396708194753
2017-12-08_5,2017-12-08,13.539576660107429,13.523691249877936,13.538805646411134,13.091516800909424,13.0802646353302,13.090970666207888,13.538805646411134,13.090970666207888,0.00731350123509686,0.005180396708194816
2017-12-08_9,2017-12-08,14.038576660107424,14.022691249877932,14.03780564641113,14.622516800909423,14.6112646353302,14.621970666207886,14.03780564641113,14.621970666207886,0.00731350123509686,0.005180396708194816
2017-12-08_13,2017-12-08,13.747576660107429,13.731691249877931,13.746805646411133,14.19951680090942,14.1882646353302,14.198970666207886,13.746805646411133,14.198970666207886,0.007313501235098983,0.005180396708193917
2017-12-11_1,2017-12-11,13.870576660107425,13.85469124987793,13.86980564641113,13.442516800909424,13.4312646353302,13.441970666207888,13.86980564641113,13.441970666207888,0.0073135012350976965,0.0051803967081952024
2017-12-11_5,2017-12-11,13.959576660107423,13.943691249877928,13.958805646411127,13.515516800909424,13.504264635330204,13.514970666207889,13.958805646411127,13.514970666207889,0.007313501235098146,0.00518039670819353
2017-12-11_9,2017-12-11,13.885576660107429,13.86969124987793,13.884805646411133,13.516516800909423,13.5052646353302,13.515970666207885,13.884805646411133,13.515970666207885,0.007313501235099819,0.005180396708194429
2017-12-11_13,2017-12-11,13.938576660107422,13.92269124987793,13.937805646411128,13.48651680090942,13.475264635330198,13.485970666207884,13.937805646411128,13.485970666207884,0.00731350123509686,0.0051803967081939795
2017-12-11_17,2017-12-11,14.201576660107428,14.185691249877934,14.200805646411132,13.445516800909424,13.434264635330203,13.444970666207888,14.200805646411132,13.444970666207888,0.00731350123509731,0.00518039670819353
2017-12-11_21,2017-12-11,14.241576660107429,14.225691249877933,14.240805646411133,13.564516800909423,13.5532646353302,13.563970666207886,14.240805646411133,13.563970666207886,0.007313501235098146,0.005180396708194816
2017-12-12_1,2017-12-12,13.899576660107428,13.883691249877934,13.898805646411134,13.49551680090942,13.4842646353302,13.494970666207884,13.898805646411134,13.494970666207884,0.0073135012350976965,0.0051803967081931425
2017-12-12_5,2017-12-12,13.790576660107426,13.774691249877932,13.789805646411132,13.530516800909425,13.519264635330204,13.529970666207888,13.789805646411132,13.529970666207888,0.0073135012350976965,0.0051803967081931425
2017-12-12_9,2017-12-12,13.793576660107428,13.777691249877932,13.792805646411132,13.399516800909424,13.3882646353302,13.398970666207887,13.792805646411132,13.398970666207887,0.007313501235098146,0.005180396708194816
2017-12-12_13,2017-12-12,13.85357666010743,13.837691249877937,13.852805646411133,13.392516800909426,13.381264635330206,13.39197066620789,13.852805646411133,13.39197066620789,0.007313501235096923,0.0051803967081931425
2017-12-14_1,2017-12-14,13.822576660107424,13.806691249877929,13.821805646411129,13.380516800909426,13.369264635330204,13.379970666207887,13.821805646411129,13.379970666207887,0.007313501235098146,0.005180396708193593
2017-12-14_5,2017-12-14,13.753576660107424,13.737691249877932,13.752805646411137,13.503516800909422,13.4922646353302,13.502970666207888,13.752805646411137,13.502970666207888,0.007313501235098409,0.005180396708194753
2017-12-14_9,2017-12-14,13.768576660107428,13.752691249877932,13.767805646411134,13.537516800909422,13.5262646353302,13.536970666207884,13.767805646411134,13.536970666207884,0.0073135012350985336,0.005180396708193593
2017-12-14_13,2017-12-14,13.749576660107422,13.73369124987793,13.74880564641113,13.460516800909426,13.449264635330204,13.459970666207887,13.74880564641113,13.459970666207887,0.007313501235097247,0.005180396708193593
2017-12-15_1,2017-12-15,13.672576660107424,13.65669124987793,13.67180564641113,13.343516800909429,13.332264635330205,13.34297066620789,13.67180564641113,13.34297066620789,0.0073135012350976965,0.005180396708194429
2017-12-15_5,2017-12-15,13.375576660107429,13.359691249877931,13.374805646411131,13.31251680090942,13.301264635330195,13.311970666207884,13.374805646411131,13.311970666207884,0.007313501235098595,0.005180396708195203
2017-12-15_9,2017-12-15,14.369576660107429,14.353691249877931,14.368805646411133,13.35551680090943,13.344264635330203,13.35497066620789,14.368805646411133,13.35497066620789,0.007313501235098983,0.005180396708195266
2017-12-19_1,2017-12-19,13.779576660107423,13.76369124987793,13.77880564641113,13.320516800909424,13.309264635330202,13.319970666207888,13.77880564641113,13.319970666207888,0.0073135012350976965,0.005180396708194366
2017-12-19_5,2017-12-19,13.694576660107424,13.678691249877929,13.69380564641113,13.317516800909424,13.3062646353302,13.316970666207888,13.69380564641113,13.316970666207888,0.007313501235098533,0.0051803967081952024
2017-12-19_9,2017-12-19,13.746576660107422,13.730691249877928,13.745805646411128,13.298516800909423,13.287264635330205,13.297970666207888,13.745805646411128,13.297970666207888,0.0073135012350976965,0.005180396708192693
2017-12-19_17,2017-12-19,13.753576660107427,13.737691249877932,13.752805646411131,13.341516800909424,13.330264635330202,13.340970666207888,13.752805646411131,13.340970666207888,0.007313501235098146,0.0051803967081939795
2017-12-19_21,2017-12-19,14.121576660107422,14.105691249877928,14.120805646411126,13.419516800909426,13.408264635330209,13.41897066620789,14.120805646411126,13.41897066620789,0.00731350123509731,0.005180396708191856
