    HJD      Phase   Vdmag
52092.81197 0.03498 -0.338
52092.81300 0.03517 -0.349
52092.81403 0.03536 -0.340
52092.81506 0.03554 -0.339
52092.81609 0.03573 -0.330
52092.81712 0.03592 -0.344
52092.81815 0.03611 -0.337
52092.81918 0.03629 -0.341
52092.82020 0.03648 -0.342
52092.82124 0.03667 -0.341
52092.82227 0.03685 -0.342
52092.82332 0.03704 -0.346
52092.82435 0.03723 -0.351
52092.82538 0.03742 -0.346
52092.82643 0.03761 -0.339
52092.82746 0.03780 -0.337
52092.82849 0.03798 -0.342
52092.82953 0.03817 -0.342
52092.83056 0.03836 -0.330
52092.83159 0.03855 -0.338
52092.83262 0.03873 -0.337
52092.83366 0.03892 -0.335
52092.83469 0.03911 -0.335
52092.83572 0.03930 -0.338
52092.83675 0.03948 -0.337
52092.83778 0.03967 -0.343
52092.83883 0.03986 -0.330
52092.83985 0.04005 -0.349
52092.84088 0.04023 -0.342
52092.84191 0.04042 -0.344
52092.84295 0.04061 -0.352
52092.84398 0.04080 -0.347
52092.84501 0.04098 -0.354
52092.84606 0.04118 -0.344
52092.84709 0.04136 -0.348
52092.84812 0.04155 -0.340
52092.84917 0.04174 -0.341
52092.85020 0.04193 -0.347
52092.85123 0.04211 -0.346
52092.85226 0.04230 -0.340
52092.85330 0.04249 -0.339
52092.85433 0.04268 -0.343
52092.85536 0.04286 -0.337
52092.85638 0.04305 -0.343
52092.85742 0.04324 -0.323
52092.85845 0.04343 -0.344
52092.85949 0.04361 -0.345
52092.86051 0.04380 -0.353
52092.86154 0.04399 -0.346
52092.86257 0.04417 -0.339
52092.86360 0.04436 -0.348
52092.86463 0.04455 -0.353
52092.86566 0.04474 -0.346
52092.86671 0.04493 -0.347
52092.86775 0.04511 -0.337
52092.86878 0.04530 -0.338
52092.86980 0.04549 -0.344
52092.87084 0.04568 -0.346
52092.87187 0.04586 -0.341
52092.87290 0.04605 -0.352
52092.87394 0.04624 -0.351
52100.68817 0.46560 -0.339
52100.68920 0.46578 -0.347
52100.69025 0.46597 -0.344
52100.69129 0.46616 -0.334
52100.69232 0.46635 -0.320
52100.69336 0.46654 -0.322
52100.69439 0.46673 -0.349
52100.69545 0.46692 -0.342
52100.69650 0.46711 -0.339
52100.69754 0.46730 -0.348
52100.69859 0.46749 -0.342
52100.69965 0.46768 -0.353
52100.70069 0.46787 -0.339
52100.70173 0.46806 -0.342
52100.70277 0.46825 -0.343
52100.70380 0.46844 -0.338
52100.70484 0.46862 -0.359
52100.70587 0.46881 -0.338
52100.70692 0.46900 -0.345
52100.70796 0.46919 -0.330
52100.70899 0.46938 -0.333
52100.71003 0.46957 -0.342
52100.71106 0.46975 -0.335
52100.71210 0.46994 -0.341
52100.71316 0.47014 -0.327
52100.71420 0.47032 -0.338
52100.71524 0.47051 -0.319
52100.71627 0.47070 -0.336
52100.71731 0.47089 -0.333
52100.71834 0.47108 -0.320
52100.71939 0.47127 -0.326
52100.72045 0.47146 -0.328
52100.72149 0.47165 -0.329
52100.72254 0.47184 -0.331
52100.72357 0.47203 -0.320
52100.72461 0.47222 -0.317
52100.72564 0.47240 -0.310
52100.72669 0.47259 -0.312
52100.72774 0.47278 -0.310
52100.72878 0.47297 -0.312
52100.72981 0.47316 -0.321
52100.73085 0.47335 -0.306
52100.73189 0.47354 -0.299
52100.73294 0.47373 -0.307
52100.73398 0.47392 -0.300
52100.73501 0.47410 -0.305
52100.73606 0.47429 -0.307
52100.73709 0.47448 -0.307
52100.73813 0.47467 -0.300
52100.73916 0.47486 -0.292
52100.74019 0.47505 -0.299
52100.74124 0.47524 -0.307
52100.74228 0.47542 -0.293
52100.74332 0.47561 -0.283
52100.74436 0.47580 -0.290
52100.74539 0.47599 -0.277
52100.74642 0.47618 -0.279
52100.74746 0.47637 -0.274
52100.74849 0.47655 -0.282
52100.74953 0.47674 -0.280
52100.75058 0.47693 -0.251
52100.75161 0.47712 -0.259
52100.75265 0.47731 -0.263
52100.75368 0.47750 -0.265
52100.75472 0.47768 -0.256
52100.75575 0.47787 -0.250
52100.75679 0.47806 -0.252
52100.75783 0.47825 -0.243
52100.75888 0.47844 -0.252
52100.75992 0.47863 -0.245
52100.76095 0.47882 -0.241
52100.76198 0.47900 -0.242
52100.76302 0.47919 -0.234
52100.76406 0.47938 -0.233
52100.76509 0.47957 -0.236
52100.76616 0.47976 -0.233
52100.76720 0.47995 -0.228
52100.76823 0.48014 -0.218
52100.76928 0.48033 -0.217
52100.77030 0.48051 -0.213
52100.77133 0.48070 -0.214
52100.77237 0.48089 -0.197
52100.77342 0.48108 -0.217
52100.77447 0.48127 -0.198
52100.77551 0.48146 -0.195
52100.77655 0.48165 -0.194
52100.77759 0.48184 -0.188
52100.77862 0.48203 -0.188
52100.77965 0.48221 -0.189
52100.78069 0.48240 -0.189
52100.78174 0.48259 -0.188
52100.78278 0.48278 -0.179
52100.78486 0.48316 -0.179
52100.78590 0.48335 -0.166
52100.78796 0.48372 -0.161
52100.78899 0.48391 -0.162
52100.79003 0.48410 -0.157
52100.79109 0.48429 -0.148
52100.79213 0.48448 -0.150
52100.79316 0.48467 -0.145
52100.79420 0.48486 -0.147
52100.79523 0.48504 -0.135
52100.79627 0.48523 -0.133
52100.79732 0.48542 -0.125
52100.79836 0.48561 -0.131
52100.79940 0.48580 -0.117
52100.80043 0.48599 -0.117
52100.80147 0.48618 -0.116
52100.80250 0.48636 -0.102
52100.80354 0.48655 -0.102
52100.80458 0.48674 -0.108
52100.80561 0.48693 -0.101
52100.80666 0.48712 -0.099
52100.80769 0.48731 -0.094
52100.80872 0.48749 -0.099
52100.80976 0.48768 -0.088
52100.81080 0.48787 -0.083
52100.81183 0.48806 -0.081
52100.81394 0.48844 -0.072
52100.81497 0.48863 -0.070
52100.81600 0.48881 -0.063
52100.81704 0.48900 -0.065
52100.81807 0.48919 -0.062
52100.81911 0.48938 -0.061
52100.82015 0.48957 -0.060
52100.82119 0.48976 -0.055
52100.82224 0.48995 -0.059
52100.82327 0.49014 -0.054
52100.82430 0.49032 -0.045
52100.82534 0.49051 -0.043
52100.82637 0.49070 -0.037
52100.82742 0.49089 -0.037
52100.82845 0.49108 -0.024
52100.82948 0.49126 -0.026
52100.83052 0.49145 -0.025
52100.83155 0.49164 -0.028
52100.83259 0.49183 -0.021
52100.83364 0.49202 -0.018
52100.83468 0.49221 -0.013
52100.83572 0.49240 -0.020
52100.83676 0.49259 -0.014
52100.83780 0.49277 -0.009
52100.83885 0.49297 -0.009
52100.83989 0.49315 -0.014
52100.84092 0.49334 -0.002
52100.84197 0.49353  0.003
52100.84301 0.49372 -0.005
52100.84511 0.49410  0.005
52100.84615 0.49429 -0.006
52100.84718 0.49448 -0.005
52100.84822 0.49467  0.005
52100.84925 0.49485 -0.003
52100.85029 0.49504  0.000
52100.85132 0.49523 -0.001
52100.85236 0.49542  0.008
52100.85339 0.49561  0.001
52100.88670 0.50166  0.007
52100.88774 0.50185  0.002
52100.88877 0.50203  0.005
52100.88980 0.50222  0.005
52100.89084 0.50241  0.009
52100.89187 0.50260  0.003
52100.89291 0.50278  0.005
52100.89395 0.50297 -0.001
52100.89498 0.50316 -0.005
52100.89602 0.50335  0.001
52100.89707 0.50354 -0.004
52100.89810 0.50373 -0.002
52100.89914 0.50392 -0.000
52100.90018 0.50411 -0.000
52100.90121 0.50429 -0.000
52100.90224 0.50448 -0.004
52100.90329 0.50467  0.001
52100.90432 0.50486  0.008
52100.90535 0.50504 -0.003
52100.90642 0.50524  0.001
52100.90745 0.50543  0.003
52100.90849 0.50561 -0.000
52100.90952 0.50580  0.000
52100.91056 0.50599  0.001
52100.91160 0.50618 -0.006
52100.91265 0.50637 -0.007
52100.91369 0.50656 -0.015
52100.91472 0.50675 -0.013
52100.91576 0.50694 -0.004
52100.91679 0.50712 -0.016
52100.91783 0.50731 -0.010
52100.91887 0.50750 -0.014
52100.91990 0.50769 -0.018
52100.92094 0.50788 -0.016
52100.92199 0.50807 -0.022
52100.92304 0.50826 -0.019
52100.92407 0.50844 -0.025
52100.92511 0.50863 -0.029
52100.92823 0.50920 -0.042
52100.92929 0.50939 -0.036
52100.93032 0.50958 -0.046
52108.89749 0.95672 -0.343
52108.89852 0.95690 -0.343
52108.89956 0.95709 -0.342
52108.90060 0.95728 -0.342
52108.90164 0.95747 -0.334
52108.90266 0.95766 -0.335
52108.90369 0.95784 -0.341
52108.90473 0.95803 -0.345
52108.90576 0.95822 -0.347
52108.90679 0.95841 -0.333
52108.90782 0.95859 -0.338
52108.90988 0.95897 -0.353
52108.91093 0.95916 -0.341
52108.91196 0.95934 -0.348
52108.91299 0.95953 -0.340
52108.91403 0.95972 -0.345
52108.91506 0.95991 -0.344
52108.91609 0.96009 -0.349
52108.91713 0.96028 -0.347
52108.91817 0.96047 -0.344
52108.91920 0.96066 -0.340
52108.92024 0.96085 -0.347
52108.92127 0.96104 -0.351
52108.92232 0.96123 -0.350
52108.92335 0.96141 -0.339
52108.92439 0.96160 -0.339
52108.92543 0.96179 -0.346
52108.92646 0.96198 -0.345
52108.92750 0.96217 -0.334
52108.92853 0.96235 -0.339
52108.92957 0.96254 -0.331
52108.93063 0.96274 -0.342
52108.93163 0.96292 -0.330
52108.93268 0.96311 -0.349
52108.93371 0.96330 -0.345
52108.93474 0.96348 -0.340
52111.71528 0.46853 -0.342
52111.71631 0.46872 -0.346
52111.71734 0.46891 -0.337
52111.71837 0.46909 -0.338
52111.71940 0.46928 -0.336
52111.72044 0.46947 -0.343
52111.72148 0.46966 -0.335
52111.72251 0.46985 -0.328
52111.72355 0.47003 -0.329
52111.72458 0.47022 -0.323
52111.72562 0.47041 -0.323
52111.72665 0.47060 -0.317
52111.72770 0.47079 -0.332
52111.72873 0.47098 -0.323
52111.72974 0.47116 -0.323
52111.73079 0.47135 -0.334
52111.73184 0.47154 -0.326
52111.73287 0.47173 -0.314
52111.73391 0.47192 -0.311
52111.73494 0.47210 -0.316
52111.73597 0.47229 -0.301
52111.73701 0.47248 -0.300
52111.73806 0.47267 -0.317
52111.73910 0.47286 -0.319
52111.74013 0.47305 -0.303
52111.74116 0.47323 -0.309
52111.74219 0.47342 -0.311
52111.74323 0.47361 -0.295
52111.74426 0.47380 -0.296
52111.74529 0.47398 -0.298
52111.74633 0.47417 -0.297
52111.74735 0.47436 -0.289
52111.74839 0.47455 -0.290
52111.74945 0.47474 -0.284
52111.75154 0.47512 -0.271
52111.75257 0.47531 -0.299
52111.75361 0.47549 -0.276
52111.75467 0.47569 -0.280
52111.75571 0.47588 -0.275
52111.75675 0.47607 -0.274
52111.75779 0.47625 -0.277
52111.75882 0.47644 -0.273
52111.75987 0.47663 -0.272
52111.76090 0.47682 -0.275
52111.76197 0.47701 -0.257
52111.76300 0.47720 -0.260
52111.76402 0.47739 -0.265
52111.76506 0.47757 -0.252
52111.76713 0.47795 -0.246
52111.76816 0.47814 -0.230
52111.76920 0.47833 -0.247
52111.77024 0.47852 -0.244
52111.77128 0.47870 -0.262
52111.77232 0.47889 -0.246
52111.77336 0.47908 -0.222
52111.77439 0.47927 -0.222
52111.77543 0.47946 -0.224
52111.77646 0.47965 -0.228
52111.77750 0.47983 -0.224
52111.77853 0.48002 -0.227
52111.77957 0.48021 -0.220
52111.78062 0.48040 -0.228
52111.78163 0.48058 -0.217
52111.78268 0.48078 -0.212
52111.78371 0.48096 -0.201
52111.78475 0.48115 -0.188
52111.78578 0.48134 -0.204
52111.78682 0.48153 -0.203
52111.78786 0.48172 -0.188
52111.78890 0.48190 -0.192
52111.78995 0.48210 -0.193
52111.79098 0.48228 -0.183
52111.79201 0.48247 -0.186
52111.79305 0.48266 -0.192
52111.79408 0.48285 -0.173
52111.79511 0.48303 -0.164
52111.79616 0.48322 -0.166
52111.79719 0.48341 -0.169
52111.79822 0.48360 -0.154
52111.79926 0.48379 -0.160
52111.80029 0.48397 -0.152
52111.80133 0.48416 -0.146
52111.80236 0.48435 -0.150
52111.80341 0.48454 -0.143
52111.80444 0.48473 -0.151
52111.80547 0.48491 -0.134
52111.80650 0.48510 -0.124
52111.80754 0.48529 -0.135
52111.80857 0.48548 -0.125
52111.80960 0.48566 -0.119
52111.81063 0.48585 -0.120
52111.81167 0.48604 -0.122
52111.81270 0.48623 -0.120
52111.81373 0.48641 -0.105
52111.81477 0.48660 -0.103
52111.81581 0.48679 -0.105
52111.81684 0.48698 -0.109
52111.81787 0.48717 -0.103
52111.81892 0.48736 -0.100
52111.81995 0.48754 -0.093
52111.82100 0.48774 -0.087
52111.82203 0.48792 -0.080
52111.82307 0.48811 -0.074
52111.82411 0.48830 -0.083
52111.82516 0.48849 -0.079
52111.82619 0.48868 -0.077
52111.82723 0.48887 -0.066
52111.82827 0.48906 -0.067
52111.82929 0.48924 -0.064
52111.83033 0.48943 -0.046
52111.83137 0.48962 -0.051
52111.83241 0.48981 -0.055
52111.83347 0.49000 -0.065
52111.83555 0.49038 -0.034
52111.83657 0.49056 -0.039
52111.83761 0.49075 -0.039
52111.83865 0.49094 -0.033
52111.83968 0.49113 -0.028
52111.84072 0.49132 -0.034
52111.84175 0.49150 -0.018
52111.84280 0.49170 -0.025
52111.84384 0.49188 -0.014
52111.84487 0.49207 -0.019
52111.84590 0.49226 -0.008
52111.84694 0.49245 -0.002
52111.84798 0.49264 -0.009
52111.84902 0.49282 -0.013
52111.85006 0.49301 -0.014
52111.85109 0.49320 -0.006
52111.85214 0.49339 -0.001
52111.85317 0.49358 -0.012
52111.85420 0.49377 -0.009
52111.85524 0.49395  0.003
52111.85628 0.49414  0.009
52111.85731 0.49433  0.004
52111.85938 0.49471  0.005
52111.86042 0.49490  0.006
52111.86145 0.49508 -0.002
52111.86248 0.49527 -0.006
52111.86351 0.49546  0.010
52111.86456 0.49565 -0.001
52111.86560 0.49584  0.011
52111.86663 0.49602  0.001
52111.86766 0.49621  0.007
52111.86870 0.49640 -0.003
52111.86973 0.49659 -0.003
52111.87076 0.49677 -0.017
52111.87180 0.49696 -0.007
52111.87283 0.49715 -0.000
52111.87387 0.49734 -0.002
52111.87490 0.49753 -0.001
52111.87593 0.49771  0.000
52111.87698 0.49790  0.005
52111.87801 0.49809  0.014
52111.87904 0.49828  0.014
52111.88008 0.49847  0.010
52111.88111 0.49865  0.006
52111.88215 0.49884  0.002
52111.88319 0.49903  0.003
52111.88422 0.49922  0.009
52111.88526 0.49941  0.006
52111.88630 0.49960  0.002
52111.88733 0.49978 -0.000
52111.88837 0.49997  0.004
52111.88940 0.50016  0.009
52111.89044 0.50035  0.005
52111.89147 0.50054 -0.000
52111.89251 0.50072  0.008
52111.89355 0.50091  0.016
52111.89458 0.50110  0.005
52111.89561 0.50129  0.014
52111.89665 0.50148 -0.007
52111.89769 0.50167 -0.002
52111.89874 0.50186  0.004
52111.89978 0.50204  0.010
52111.90081 0.50223  0.007
52111.90288 0.50261  0.004
52111.90393 0.50280  0.003
52111.90497 0.50299 -0.001
52111.90603 0.50318  0.004
52111.90706 0.50337 -0.004
52111.90809 0.50355  0.007
52111.90913 0.50374  0.005
52111.91015 0.50393 -0.002
52111.91120 0.50412  0.008
52111.91223 0.50431  0.011
52111.91326 0.50449  0.008
52111.91429 0.50468  0.008
52111.91533 0.50487  0.007
52111.91636 0.50506  0.012
52111.91739 0.50524 -0.004
52111.91842 0.50543  0.004
52111.91947 0.50562 -0.001
52111.92048 0.50580  0.004
52111.92154 0.50600  0.006
52111.92257 0.50618  0.003
52111.92360 0.50637  0.001
52111.92464 0.50656  0.005
52111.92567 0.50675  0.004
52111.92671 0.50694 -0.002
52111.92775 0.50713 -0.009
52111.92878 0.50731 -0.017
52111.92983 0.50750 -0.002
52111.93086 0.50769 -0.007
52111.93190 0.50788 -0.014
52111.93294 0.50807 -0.012
52111.93396 0.50825 -0.013
52111.93501 0.50844 -0.013
52111.93604 0.50863 -0.018
52111.93707 0.50882 -0.019
52114.67514 0.00615  0.146
52114.67619 0.00634  0.160
52114.67723 0.00653  0.141
52114.67827 0.00672  0.140
52114.67930 0.00691  0.110
52114.68034 0.00710  0.129
52114.68137 0.00729  0.132
52114.68241 0.00747  0.113
52114.68344 0.00766  0.135
52114.68450 0.00785  0.110
52114.68553 0.00804  0.093
52114.68656 0.00823  0.084
52114.68759 0.00842  0.097
52114.68864 0.00861  0.078
52114.68967 0.00879  0.101
52114.69070 0.00898  0.083
52114.69174 0.00917  0.097
52114.69277 0.00936  0.073
52114.69380 0.00954  0.089
52114.69484 0.00973  0.088
52114.69589 0.00992  0.045
52114.69695 0.01012  0.050
52114.69799 0.01030  0.050
52114.69903 0.01049  0.035
52114.70006 0.01068  0.029
52114.70111 0.01087  0.021
52114.70215 0.01106  0.015
52114.70318 0.01125  0.029
52114.70421 0.01143  0.018
52114.70524 0.01162  0.000
52114.70629 0.01181  0.005
52114.70732 0.01200 -0.011
52114.70835 0.01219 -0.015
52114.70939 0.01238 -0.005
52114.71042 0.01256 -0.023
52114.71147 0.01275 -0.034
52114.71250 0.01294 -0.028
52114.71354 0.01313 -0.005
52114.71458 0.01332 -0.017
52114.71562 0.01351 -0.048
52114.71666 0.01370 -0.037
52114.71769 0.01388 -0.059
52114.71873 0.01407 -0.054
52114.71976 0.01426 -0.065
52114.72081 0.01445 -0.058
52114.72182 0.01463 -0.052
52114.72287 0.01482 -0.071
52114.72390 0.01501 -0.094
52114.72493 0.01520 -0.075
52114.72597 0.01539 -0.083
52114.72701 0.01558 -0.085
52114.72804 0.01576 -0.110
52114.72907 0.01595 -0.101
52114.73117 0.01633 -0.124
52114.73220 0.01652 -0.128
52114.73324 0.01671 -0.122
52114.73428 0.01690 -0.131
52114.73532 0.01709 -0.123
52114.73635 0.01727 -0.138
52114.73738 0.01746 -0.122
52114.73842 0.01765 -0.129
52114.73945 0.01784 -0.152
52114.74049 0.01802 -0.154
52114.74154 0.01821 -0.157
52114.74258 0.01840 -0.153
52114.74362 0.01859 -0.160
52114.74467 0.01878 -0.157
52114.74569 0.01897 -0.178
52114.74673 0.01916 -0.182
52114.74778 0.01935 -0.173
52114.74881 0.01954 -0.173
52114.74985 0.01972 -0.169
52114.75089 0.01991 -0.184
52114.75193 0.02010 -0.204
52114.75297 0.02029 -0.197
52114.75401 0.02048 -0.197
52114.75506 0.02067 -0.204
52114.75609 0.02086 -0.209
52114.75712 0.02104 -0.206
52114.75816 0.02123 -0.216
52114.75919 0.02142 -0.227
52114.76022 0.02161 -0.217
52114.76126 0.02180 -0.221
52114.76229 0.02198 -0.226
52114.76333 0.02217 -0.234
52114.76436 0.02236 -0.237
52114.76540 0.02255 -0.239
52114.76643 0.02274 -0.243
52114.76746 0.02292 -0.247
52114.76849 0.02311 -0.251
52114.76952 0.02330 -0.237
52114.77055 0.02348 -0.244
52114.77160 0.02367 -0.251
52114.77264 0.02386 -0.255
52114.77368 0.02405 -0.246
52114.77472 0.02424 -0.258
52114.77576 0.02443 -0.251
52114.77680 0.02462 -0.277
52114.77782 0.02480 -0.265
52114.77886 0.02499 -0.265
52114.77991 0.02518 -0.281
52114.78094 0.02537 -0.285
52114.78197 0.02556 -0.277
52114.78300 0.02575 -0.274
52114.78404 0.02593 -0.292
52114.78508 0.02612 -0.295
52114.78611 0.02631 -0.301
52114.78714 0.02650 -0.292
52114.78817 0.02668 -0.298
52114.78922 0.02688 -0.299
52114.79025 0.02706 -0.290
52114.79130 0.02725 -0.298
52114.79233 0.02744 -0.304
52114.79337 0.02763 -0.296
52114.79440 0.02782 -0.310
52114.79544 0.02801 -0.301
52114.79647 0.02819 -0.316
52114.79750 0.02838 -0.320
52114.79853 0.02857 -0.306
52114.79957 0.02876 -0.327
52114.80060 0.02894 -0.310
52114.80163 0.02913 -0.326
52114.80267 0.02932 -0.337
52114.80372 0.02951 -0.325
52114.80475 0.02970 -0.325
52114.80579 0.02989 -0.325
52114.80682 0.03007 -0.345
52114.80785 0.03026 -0.329
52114.80888 0.03045 -0.333
52114.80991 0.03063 -0.329
52114.81094 0.03082 -0.343
52114.81198 0.03101 -0.347
52114.81302 0.03120 -0.321
52114.81405 0.03139 -0.332
52114.81509 0.03157 -0.338
52114.81614 0.03177 -0.333
52114.81717 0.03195 -0.347
52114.81821 0.03214 -0.341
52114.81924 0.03233 -0.334
52114.82028 0.03252 -0.325
52114.82132 0.03271 -0.344
52114.82235 0.03289 -0.333
52114.82339 0.03308 -0.351
52114.82442 0.03327 -0.345
52114.82545 0.03346 -0.340
52114.82649 0.03365 -0.338
52114.82752 0.03383 -0.349
52114.82857 0.03402 -0.345
52114.82960 0.03421 -0.336
52114.83064 0.03440 -0.343
52114.83167 0.03459 -0.345
52114.83271 0.03477 -0.339
52114.83374 0.03496 -0.345
52114.83478 0.03515 -0.339
52114.83582 0.03534 -0.344
52114.83687 0.03553 -0.334
52114.83791 0.03572 -0.345
52114.83894 0.03591 -0.349
52114.83998 0.03610 -0.346
52114.84103 0.03629 -0.340
52114.84205 0.03647 -0.342
52114.84309 0.03666 -0.345
52114.84412 0.03685 -0.359
52114.84516 0.03704 -0.339
52114.84621 0.03723 -0.345
52114.84725 0.03742 -0.348
52114.84828 0.03760 -0.352
52114.84931 0.03779 -0.348
52114.85036 0.03798 -0.355
52114.85140 0.03817 -0.353
52114.85243 0.03836 -0.345
52114.85348 0.03855 -0.343
52114.85451 0.03873 -0.346
52114.85554 0.03892 -0.341
52114.85658 0.03911 -0.342
52114.85761 0.03930 -0.329
52114.85865 0.03949 -0.341
52114.85969 0.03968 -0.349
52114.86073 0.03986 -0.337
52114.86177 0.04005 -0.326
52114.86280 0.04024 -0.339
52114.86382 0.04043 -0.354
52114.86486 0.04061 -0.339
52114.86591 0.04081 -0.342
52114.86695 0.04099 -0.335
52114.86799 0.04118 -0.335
52114.86902 0.04137 -0.338
52114.87005 0.04156 -0.336
52114.87109 0.04175 -0.350
52114.87212 0.04193 -0.359
52114.87315 0.04212 -0.346
52114.87419 0.04231 -0.326
52114.87525 0.04250 -0.357
52114.87628 0.04269 -0.328
52114.87731 0.04288 -0.345
52114.87834 0.04306 -0.343
52114.87937 0.04325 -0.339
52114.88041 0.04344 -0.346
52114.88145 0.04363 -0.338
52114.88248 0.04381 -0.345
52114.88351 0.04400 -0.340
52114.88454 0.04419 -0.347
52114.88558 0.04438 -0.339
52114.88661 0.04457 -0.344
52114.88764 0.04475 -0.336
52114.88869 0.04494 -0.342
52114.88973 0.04513 -0.338
52114.89076 0.04532 -0.332
52114.89180 0.04551 -0.346
52114.89284 0.04570 -0.344
52114.89388 0.04589 -0.340
52114.89492 0.04607 -0.324
52114.89598 0.04627 -0.339
52114.89702 0.04646 -0.344
52114.89805 0.04664 -0.331
52114.89909 0.04683 -0.330
52114.90013 0.04702 -0.347
52114.90116 0.04721 -0.337
52114.90221 0.04740 -0.341
52114.90324 0.04759 -0.340
52114.90428 0.04777 -0.347
52114.90531 0.04796 -0.338
52114.90634 0.04815 -0.334
52114.90738 0.04834 -0.344
52114.90840 0.04852 -0.349
52114.90944 0.04871 -0.346
52114.91048 0.04890 -0.328
52114.91151 0.04909 -0.338
52114.91255 0.04928 -0.338
52114.91358 0.04946 -0.343
52114.91461 0.04965 -0.343
52114.91564 0.04984 -0.334
52114.91773 0.05022 -0.334
52114.91876 0.05040 -0.333
52114.91980 0.05059 -0.341
52114.92083 0.05078 -0.337
52114.92186 0.05097 -0.340
52114.92289 0.05115 -0.332
52114.92393 0.05134 -0.348
52114.92496 0.05153 -0.342
52114.92600 0.05172 -0.342
52114.92704 0.05191 -0.338
52114.92807 0.05210 -0.341
52114.92912 0.05229 -0.347
52114.93016 0.05248 -0.330
52114.93120 0.05266 -0.340
52114.93223 0.05285 -0.335
52114.93326 0.05304 -0.334
52114.93429 0.05323 -0.331
52114.93533 0.05341 -0.331
52114.93637 0.05360 -0.352
52114.93742 0.05379 -0.341
52114.93845 0.05398 -0.326
52155.69999 0.45780 -0.339
52155.70103 0.45799 -0.337
52155.70207 0.45818 -0.333
52155.70311 0.45837 -0.342
52155.70415 0.45856 -0.342
52155.70518 0.45875 -0.344
52155.70621 0.45893 -0.344
52155.70726 0.45912 -0.346
52155.70829 0.45931 -0.340
52155.70932 0.45950 -0.343
52155.71037 0.45969 -0.342
52155.71141 0.45988 -0.332
52155.71245 0.46007 -0.345
52155.71349 0.46026 -0.339
52155.71452 0.46044 -0.331
52155.71557 0.46063 -0.333
52155.71660 0.46082 -0.333
52155.71764 0.46101 -0.334
52155.71868 0.46120 -0.326
52155.71971 0.46139 -0.331
52155.72074 0.46157 -0.338
52155.72178 0.46176 -0.340
52155.72282 0.46195 -0.329
52155.72387 0.46214 -0.342
52155.72492 0.46233 -0.327
52155.72595 0.46252 -0.330
52155.72699 0.46271 -0.341
52155.72803 0.46290 -0.324
52155.72906 0.46308 -0.350
52155.73010 0.46327 -0.333
52155.73113 0.46346 -0.343
52155.73218 0.46365 -0.337
52155.73323 0.46384 -0.328
52155.73427 0.46403 -0.337
52155.73530 0.46422 -0.330
52155.73633 0.46441 -0.327
52155.73737 0.46459 -0.327
52155.73840 0.46478 -0.342
52155.73944 0.46497 -0.337
52155.74155 0.46535 -0.343
52155.74259 0.46554 -0.333
52155.74363 0.46573 -0.339
52155.74466 0.46592 -0.312
52155.74571 0.46611 -0.333
52155.74674 0.46630 -0.338
52155.74777 0.46648 -0.323
52155.74881 0.46667 -0.326
52155.74984 0.46686 -0.333
52155.75088 0.46705 -0.344
52155.75191 0.46723 -0.329
52155.75294 0.46742 -0.336
52155.75397 0.46761 -0.325
52155.75501 0.46780 -0.338
52155.75604 0.46799 -0.321
52155.75708 0.46817 -0.328
52155.75811 0.46836 -0.328
52155.75917 0.46855 -0.321
52155.76020 0.46874 -0.316
52155.76123 0.46893 -0.320
52155.76227 0.46912 -0.316
52155.76331 0.46931 -0.321
52155.76434 0.46949 -0.324
52155.76539 0.46968 -0.316
52155.76645 0.46988 -0.309
52155.76749 0.47006 -0.320
52155.76852 0.47025 -0.334
52155.76955 0.47044 -0.292
52155.77059 0.47063 -0.322
52155.77162 0.47082 -0.319
52155.77269 0.47101 -0.289
52155.77373 0.47120 -0.317
52155.77476 0.47139 -0.312
52155.77579 0.47157 -0.312
52155.77683 0.47176 -0.292
52155.77787 0.47195 -0.306
52155.77890 0.47214 -0.300
52155.77994 0.47233 -0.290
52155.78097 0.47251 -0.316
52155.78202 0.47270 -0.294
52155.78306 0.47289 -0.282
52155.78409 0.47308 -0.308
52155.78514 0.47327 -0.300
52155.78618 0.47346 -0.290
52155.78721 0.47365 -0.296
52155.78824 0.47383 -0.304
52155.78928 0.47402 -0.272
52155.79033 0.47421 -0.299
52155.79136 0.47440 -0.284
52155.79240 0.47459 -0.281
52155.79344 0.47478 -0.287
52155.79447 0.47497 -0.278
52155.79551 0.47515 -0.284
52155.79658 0.47535 -0.271
52155.79762 0.47554 -0.275
52155.79866 0.47573 -0.279
52155.79971 0.47592 -0.259
52155.80075 0.47611 -0.276
52155.80179 0.47630 -0.271
52155.80284 0.47649 -0.254
52155.80388 0.47667 -0.255
52155.80492 0.47686 -0.262
52155.80595 0.47705 -0.258
52155.80699 0.47724 -0.272
52155.80805 0.47743 -0.229
52155.80908 0.47762 -0.240
52155.81013 0.47781 -0.244
52155.81116 0.47800 -0.246
52155.81219 0.47818 -0.239
52155.81322 0.47837 -0.221
52155.81426 0.47856 -0.234
52155.81530 0.47875 -0.233
52155.81633 0.47894 -0.239
52155.81738 0.47913 -0.222
52155.81841 0.47931 -0.226
52155.81947 0.47951 -0.226
52155.82051 0.47970 -0.228
52155.82157 0.47989 -0.223
52155.82261 0.48008 -0.214
52155.82364 0.48026 -0.213
52155.82467 0.48045 -0.211
52155.82571 0.48064 -0.203
52155.82674 0.48083 -0.212
52155.82777 0.48101 -0.191
