    HJD      Phase   Vdmag
51878.62704 0.13097 -0.327
51883.62825 0.03938 -0.330
51883.62926 0.03956 -0.326
51883.63027 0.03975 -0.324
51883.63128 0.03993 -0.347
51883.63229 0.04011 -0.339
51883.63330 0.04030 -0.325
51883.63432 0.04048 -0.339
51883.63532 0.04066 -0.333
51883.63633 0.04085 -0.330
51883.63734 0.04103 -0.338
51883.63834 0.04121 -0.326
51883.63935 0.04140 -0.329
51883.64036 0.04158 -0.331
51883.64137 0.04176 -0.334
51883.64237 0.04195 -0.335
51883.64337 0.04213 -0.336
51883.64437 0.04231 -0.338
51883.64538 0.04249 -0.345
51883.64639 0.04268 -0.335
51883.64739 0.04286 -0.338
51919.54211 0.56268 -0.346
51919.54313 0.56287 -0.350
51919.54416 0.56306 -0.342
51919.54518 0.56324 -0.346
51919.54620 0.56343 -0.337
51919.54721 0.56361 -0.343
51919.54823 0.56379 -0.336
51919.54925 0.56398 -0.349
51919.55028 0.56417 -0.347
51919.55130 0.56435 -0.348
51919.55232 0.56454 -0.342
51919.55334 0.56472 -0.349
51919.55435 0.56491 -0.351
51919.55537 0.56509 -0.349
51919.55639 0.56528 -0.346
51919.55742 0.56546 -0.340
51919.55844 0.56565 -0.342
51919.55945 0.56583 -0.345
51919.56048 0.56602 -0.352
51919.56150 0.56621 -0.344
51924.56363 0.47478 -0.289
51924.56465 0.47496 -0.293
51924.56567 0.47515 -0.281
51924.56669 0.47534 -0.284
51924.56770 0.47552 -0.268
51924.56873 0.47571 -0.277
51924.56974 0.47589 -0.275
51924.57076 0.47607 -0.279
51924.57178 0.47626 -0.270
51924.57280 0.47645 -0.269
51924.57382 0.47663 -0.271
51924.57483 0.47681 -0.270
51924.57585 0.47700 -0.272
51924.57687 0.47718 -0.263
51924.57788 0.47737 -0.265
51924.57890 0.47755 -0.255
51924.57993 0.47774 -0.249
51924.58093 0.47792 -0.253
51924.58195 0.47811 -0.245
51924.58297 0.47829 -0.251
51931.55200 0.74413 -0.356
51931.55302 0.74431 -0.355
51931.55404 0.74450 -0.355
51931.55506 0.74469 -0.346
51931.55609 0.74487 -0.360
51931.55711 0.74506 -0.351
51931.55813 0.74524 -0.345
51931.55915 0.74543 -0.354
51931.56016 0.74561 -0.359
51931.56117 0.74579 -0.362
51931.56220 0.74598 -0.350
51931.56322 0.74617 -0.344
51931.56424 0.74635 -0.353
51931.56527 0.74654 -0.354
51931.56630 0.74673 -0.361
51931.56732 0.74691 -0.356
51931.56833 0.74710 -0.357
51931.56935 0.74728 -0.350
51931.57039 0.74747 -0.353
51931.57141 0.74765 -0.349
51931.57243 0.74784 -0.361
51932.57354 0.92968 -0.356
51932.57456 0.92986 -0.355
51932.57558 0.93005 -0.356
51932.57660 0.93024 -0.346
51932.57762 0.93042 -0.359
51932.57863 0.93060 -0.351
51932.57964 0.93079 -0.344
51932.58066 0.93097 -0.355
51932.58168 0.93116 -0.359
51932.58270 0.93134 -0.362
51932.58372 0.93153 -0.350
51932.58473 0.93171 -0.343
51932.58575 0.93190 -0.355
51932.58677 0.93208 -0.345
51932.58779 0.93227 -0.350
51932.58881 0.93245 -0.352
51932.58983 0.93264 -0.347
